iter	Logloss
0	0.684411097
1	0.6769193142
2	0.6683707298
3	0.6595952485
4	0.6528613318
5	0.6461060957
6	0.6396233268
7	0.6337258417
8	0.626957599
9	0.6217600655
10	0.6154490351
11	0.6093998094
12	0.6035545879
13	0.5979516055
14	0.5935877315
15	0.5884772219
16	0.5846343442
17	0.5808009046
18	0.5779600833
19	0.5741685922
20	0.5704355203
21	0.5667966762
22	0.5637640513
23	0.5612399286
24	0.5584717859
25	0.5557001025
26	0.5526280844
27	0.5499636966
28	0.5475077537
29	0.5453264004
30	0.5433514714
31	0.5412292048
32	0.5390107734
33	0.5371478044
34	0.5353195243
35	0.53302738
36	0.5306200156
37	0.5287741699
38	0.526708366
39	0.5249828425
40	0.5234542538
41	0.5216418227
42	0.5201444618
43	0.5188316284
44	0.5172025644
45	0.5154482152
46	0.5140850798
47	0.5127095963
48	0.511417701
49	0.5103309766
50	0.5090694801
51	0.5081208608
52	0.5066853585
53	0.5057343511
54	0.5046627349
55	0.503736803
56	0.5027172579
57	0.5013810664
58	0.5004925637
59	0.4993977833
60	0.4984554199
61	0.4974761197
62	0.4965014544
63	0.4953744178
64	0.4946772242
65	0.4938899919
66	0.4930351774
67	0.4922630637
68	0.4915067547
69	0.4904520012
70	0.4897687921
71	0.489059291
72	0.488576473
73	0.4879708296
74	0.4872008056
75	0.4865137946
76	0.4859009694
77	0.4852331652
78	0.4845635532
79	0.4838108238
80	0.4831748727
81	0.4827385521
82	0.4821404536
83	0.4816137792
84	0.4811212102
85	0.4805871435
86	0.4800587519
87	0.4794921327
88	0.4789866791
89	0.4785736891
90	0.4781416724
91	0.4776805554
92	0.4771067606
93	0.4765643581
94	0.476168701
95	0.4756465301
96	0.475136858
97	0.4746611439
98	0.4742789067
99	0.4738195483
100	0.4735015159
101	0.4730368099
102	0.4725285237
103	0.4720904774
104	0.4715373398
105	0.4711593801
106	0.4707550928
107	0.4703500716
108	0.4698605265
109	0.4695615024
110	0.4692762349
111	0.4688555993
112	0.468518796
113	0.4683611426
114	0.4680693691
115	0.4678585924
116	0.4673012475
117	0.4669464027
118	0.4666735644
119	0.4662093996
120	0.4659379065
121	0.4655893019
122	0.4652934513
123	0.4649474123
124	0.4645972808
125	0.4640814139
126	0.4637763533
127	0.4634297964
128	0.4631166311
129	0.4627902514
130	0.4624803939
131	0.4622049786
132	0.4619135261
133	0.4616443843
134	0.4613794604
135	0.4609612376
136	0.4607452712
137	0.460329536
138	0.4601032787
139	0.4598179356
140	0.459566883
141	0.4592586484
142	0.4588924811
143	0.4585472063
144	0.4582637465
145	0.4581353358
146	0.4578040728
147	0.4576509009
148	0.4572975886
149	0.4571267891
150	0.4568773886
151	0.4564561171
