iter	Passed	Remaining
0	4	4271
1	7	3699
2	10	3406
3	13	3257
4	16	3244
5	20	3367
6	23	3327
7	26	3283
8	29	3244
9	33	3303
10	37	3353
11	40	3327
12	43	3285
13	46	3254
14	50	3311
15	54	3362
16	57	3345
17	60	3314
18	65	3374
19	69	3405
20	72	3377
21	75	3354
22	78	3328
23	82	3369
24	86	3361
25	89	3350
26	92	3333
27	96	3337
28	99	3346
29	103	3337
30	106	3333
31	109	3314
32	114	3345
33	117	3344
34	120	3326
35	123	3310
36	126	3299
37	131	3317
38	134	3305
39	137	3292
40	140	3281
41	144	3305
42	149	3324
43	152	3321
44	156	3318
45	160	3337
46	165	3347
47	169	3356
48	173	3364
49	178	3394
50	181	3379
51	184	3362
52	187	3349
53	193	3388
54	197	3385
55	199	3371
56	203	3364
57	208	3381
58	210	3364
59	214	3366
60	218	3358
61	223	3375
62	228	3400
63	231	3388
64	234	3375
65	238	3380
66	242	3382
67	245	3370
68	248	3357
69	251	3344
70	255	3342
71	259	3348
72	263	3343
73	266	3331
74	270	3332
75	274	3331
76	276	3319
77	279	3308
78	282	3296
79	287	3301
80	290	3296
81	293	3285
82	296	3273
83	299	3262
84	303	3262
85	306	3255
86	309	3244
87	312	3234
88	315	3224
89	319	3232
90	323	3228
91	326	3220
92	329	3211
93	333	3211
94	336	3210
95	340	3203
96	343	3194
97	346	3186
98	351	3195
99	355	3198
100	358	3195
101	363	3195
102	369	3216
103	373	3213
104	376	3207
105	379	3204
106	383	3203
107	387	3204
108	391	3197
109	394	3190
110	400	3207
111	403	3202
112	407	3196
113	411	3195
114	414	3189
115	417	3183
116	421	3183
117	425	3177
118	428	3174
119	431	3167
120	434	3159
121	437	3151
122	440	3143
123	444	3142
124	449	3145
125	452	3137
126	455	3132
127	460	3134
128	463	3126
129	465	3115
130	468	3107
131	470	3096
132	475	3101
133	479	3097
134	482	3089
135	485	3081
136	488	3074
137	492	3074
138	495	3070
139	498	3063
140	501	3057
141	505	3052
142	508	3048
143	513	3049
144	516	3044
145	519	3037
146	524	3041
147	527	3037
148	531	3033
149	534	3027
150	538	3027
151	542	3026
152	545	3021
153	548	3015
154	553	3014
155	557	3015
156	560	3009
157	563	3004
158	567	2999
159	571	3000
160	574	2996
161	578	2991
162	581	2986
163	585	2985
164	588	2979
165	592	2975
166	595	2970
167	599	2968
168	602	2962
169	605	2957
170	608	2952
171	613	2951
172	617	2949
173	620	2944
174	622	2936
175	625	2927
176	627	2918
177	631	2917
178	635	2915
179	639	2913
180	642	2907
181	645	2901
182	649	2899
183	652	2893
184	654	2885
185	657	2876
186	660	2871
187	665	2873
188	668	2867
189	671	2860
190	673	2852
191	676	2849
192	681	2849
193	685	2847
194	688	2843
195	691	2838
196	698	2846
197	703	2848
198	708	2850
199	712	2851
200	717	2852
201	721	2851
202	727	2855
203	731	2854
204	735	2850
205	738	2847
206	744	2852
207	750	2855
208	753	2851
209	759	2857
210	763	2854
211	766	2849
212	773	2857
213	778	2860
214	783	2861
215	789	2865
216	795	2868
217	799	2867
218	804	2867
219	808	2865
220	812	2862
221	815	2858
222	820	2858
223	824	2854
224	828	2854
225	833	2853
226	838	2856
227	842	2851
228	845	2845
229	848	2840
230	853	2839
231	856	2835
232	859	2830
233	862	2824
234	867	2824
235	871	2821
236	874	2816
237	878	2811
238	882	2809
239	885	2804
240	889	2801
241	892	2795
242	895	2790
243	900	2789
244	903	2784
245	906	2779
246	909	2774
247	916	2777
248	922	2782
249	925	2776
250	931	2778
251	935	2776
252	938	2770
253	941	2765
254	947	2767
255	952	2767
256	955	2762
257	960	2760
258	967	2766
259	970	2761
260	973	2757
261	978	2755
262	982	2753
263	986	2749
264	990	2747
265	994	2745
266	999	2745
267	1003	2740
268	1007	2736
269	1010	2733
270	1014	2730
271	1018	2727
272	1023	2725
273	1026	2720
274	1030	2717
275	1034	2712
276	1039	2712
277	1043	2710
278	1047	2706
279	1049	2699
280	1054	2697
281	1058	2694
282	1061	2688
283	1064	2683
284	1067	2677
285	1073	2680
286	1077	2675
287	1080	2670
288	1082	2663
289	1086	2660
290	1091	2658
291	1093	2652
292	1096	2645
293	1098	2638
294	1103	2636
295	1106	2631
296	1109	2626
297	1112	2620
298	1115	2615
299	1120	2614
300	1123	2609
301	1126	2604
302	1129	2598
303	1134	2596
304	1137	2592
305	1140	2586
306	1143	2580
307	1145	2573
308	1148	2569
309	1152	2565
310	1155	2560
311	1158	2555
312	1162	2550
313	1168	2551
314	1172	2548
315	1175	2543
316	1178	2538
317	1183	2537
318	1187	2534
319	1190	2530
320	1196	2531
321	1200	2527
322	1204	2524
323	1209	2522
324	1214	2521
325	1217	2517
326	1221	2514
327	1225	2509
328	1229	2507
329	1232	2502
330	1235	2498
331	1238	2492
332	1242	2488
333	1245	2484
334	1249	2479
335	1252	2474
336	1255	2469
337	1259	2466
338	1263	2463
339	1266	2458
340	1269	2453
341	1273	2449
342	1276	2445
343	1280	2441
344	1283	2435
345	1286	2430
346	1289	2426
347	1296	2429
348	1300	2424
349	1302	2419
350	1307	2416
351	1310	2412
352	1313	2407
353	1316	2402
354	1319	2397
355	1323	2394
356	1326	2390
357	1329	2384
358	1332	2379
359	1336	2375
360	1339	2371
361	1343	2368
362	1346	2363
363	1349	2358
364	1353	2355
365	1358	2353
366	1362	2349
367	1365	2345
368	1370	2342
369	1374	2339
370	1377	2334
371	1380	2329
372	1384	2327
373	1388	2323
374	1391	2319
375	1394	2314
376	1398	2310
377	1402	2307
378	1405	2303
379	1408	2298
380	1411	2293
381	1416	2291
382	1419	2287
383	1422	2282
384	1426	2277
385	1429	2274
386	1433	2270
387	1436	2266
388	1439	2261
389	1442	2256
390	1446	2253
391	1450	2249
392	1453	2244
393	1456	2239
394	1458	2234
395	1462	2231
396	1465	2226
397	1468	2221
398	1472	2217
399	1474	2212
400	1478	2208
401	1482	2205
402	1485	2200
403	1487	2194
404	1489	2188
405	1493	2185
406	1497	2182
407	1500	2177
408	1503	2172
409	1506	2167
410	1510	2165
411	1515	2162
412	1518	2157
413	1521	2154
414	1528	2155
415	1531	2150
416	1535	2146
417	1539	2143
418	1545	2143
419	1549	2140
420	1554	2137
421	1558	2134
422	1561	2130
423	1565	2126
424	1569	2123
425	1577	2125
426	1582	2123
427	1592	2128
428	1598	2127
429	1607	2130
430	1610	2126
