iter	RMSE
0	4224560.299
1	4050089.937
2	3900069.658
3	3765940.68
4	3649865.502
5	3540759.178
6	3445484.217
7	3363045.752
8	3295190.838
9	3224179.832
10	3167635.751
11	3114281.466
12	3063500.593
13	3018917.689
14	2981266.702
15	2947414.334
16	2916631.652
17	2887460.357
18	2858703.082
19	2835727.329
20	2815446.038
21	2797092.485
22	2780275.184
23	2760955.18
24	2742868.417
25	2728166.129
26	2713629.718
27	2701974.964
28	2691605.86
29	2681278.367
30	2668965.234
31	2658016.268
32	2649301.773
33	2635667.684
34	2626154.314
35	2619275.963
36	2612714.33
37	2606581.137
38	2598806.178
39	2589398.328
40	2584782.323
41	2579712.335
42	2574044.742
43	2568258.29
44	2563636.807
45	2558818.406
46	2550395.783
47	2543537.213
48	2540000.004
49	2535452.102
50	2532517.883
51	2528803.546
52	2525208.743
53	2521992.882
54	2519156.681
55	2517379.082
56	2514407.342
57	2508119.903
58	2505716.641
59	2498550.507
60	2495950.403
61	2492654.825
62	2488888.466
63	2487709.491
64	2482200.575
65	2479673.792
66	2477338.012
67	2475463.008
68	2472789.26
69	2471378.959
70	2469956.218
71	2468284.065
72	2466823.23
73	2465133.322
74	2463829.82
75	2459856.115
76	2456607.831
77	2454946.655
78	2453836.008
79	2452264.657
80	2450740.773
81	2449923.947
82	2448496.608
83	2445561.628
84	2444438.637
85	2443451.848
86	2442658.89
87	2441119.692
88	2438987.899
89	2438080.754
90	2435530.389
91	2434157.306
92	2433115.786
93	2431930.127
94	2429112.548
95	2428236.712
96	2426601.901
97	2425775.075
98	2425038.164
99	2424340.296
100	2423509.133
101	2422345.112
102	2421449.263
103	2420614.428
104	2419717.828
105	2419072.223
106	2418275.894
107	2417700.334
108	2416905.288
109	2416251.488
110	2413559.554
111	2413114.945
112	2412535.197
113	2409861.439
114	2409028.653
115	2408239.648
116	2407562.765
117	2406731.434
118	2405460.014
119	2403963.176
120	2402972.978
121	2402407.597
122	2401162.149
123	2399614.528
124	2398614.77
125	2398189.494
126	2397314.422
127	2396393.682
128	2395674.663
129	2394627.885
130	2394152.166
131	2393395.586
132	2392824.248
133	2392373.867
134	2391814.076
135	2391475.373
136	2390876.196
137	2388970.104
138	2388405.352
139	2387420.826
140	2386884.599
141	2386469.834
142	2385953.578
143	2385375.186
144	2385025.626
145	2384453.063
146	2383427.422
147	2382194.132
148	2381473.43
149	2380718.825
150	2379882.787
151	2379529.246
152	2378488.499
153	2376930.607
154	2376229.455
155	2374552.869
156	2373876.413
157	2373474.992
158	2372849.475
159	2372086.86
160	2370875.254
161	2370204.728
162	2369504.052
163	2369176.158
164	2368532.646
165	2367422.394
166	2366894.109
167	2366322.743
168	2365759.412
169	2365359.652
170	2364831.909
171	2364416.377
172	2363805.265
173	2363419.879
174	2362952.591
175	2362425.645
176	2361846.415
177	2361387.09
178	2360171.269
179	2359677.822
180	2359046.181
181	2358724.444
182	2357751.58
183	2357374.356
184	2356958.924
185	2356594.183
186	2356040.067
187	2355339.649
188	2354859.317
189	2353934.182
190	2353352.608
191	2352680.998
192	2352360.973
193	2351663.708
194	2351239.109
195	2350822.108
196	2349808.02
197	2349540.557
198	2348925.191
199	2348573.525
200	2348023.415
201	2347576.707
202	2347010.649
203	2346595.298
204	2345754.378
205	2345283.327
206	2344740.262
207	2344226.335
208	2343224.818
209	2342929.758
210	2342330.296
211	2342003.954
212	2341737.185
213	2341280.843
214	2340745.565
215	2340342.139
216	2340046.928
217	2339624.134
218	2338935.497
219	2338541.265
220	2338183.642
221	2337527.524
222	2337192.88
223	2336718.634
224	2336360.545
225	2335649.786
226	2334981.518
227	2334478.828
228	2334119.011
229	2333560.247
230	2333404.005
231	2332999.425
232	2332647.589
233	2332253.034
234	2331874.963
235	2331432.678
236	2331060.312
237	2330680.712
238	2330313.068
239	2329790.698
240	2329511.591
241	2328927.604
242	2328606.133
243	2328116.486
244	2327260.422
245	2326948.702
246	2326675.653
247	2326022.084
248	2325547.239
249	2325285.017
250	2324981.075
251	2324756.444
252	2324349.046
253	2324082.983
254	2323576.133
255	2323046.176
256	2322627.143
257	2322332.547
258	2321845.052
259	2321609.656
260	2321168.557
261	2320755.515
262	2320483.307
263	2320250.06
264	2320052.455
265	2319679.644
266	2319333.787
267	2318999.943
268	2318530
269	2318193.14
270	2317887.2
271	2317625.57
272	2317440.017
273	2317082.892
274	2316692.459
275	2316349.161
276	2315759.051
277	2315478.88
278	2315367.172
279	2315102.842
280	2314871.715
281	2314424.789
282	2314146.738
283	2313882.633
284	2313584.463
285	2313147.592
286	2312788.995
287	2312354.992
288	2311947.673
289	2311700.886
290	2311569.315
291	2311380.808
292	2310961.928
293	2310554.75
294	2310129.508
295	2309794.45
296	2309432.598
297	2309181.077
298	2308939.387
299	2308416.985
300	2308097.988
301	2307917.589
302	2307601.015
303	2307326.74
304	2306616.2
305	2306261.831
306	2305728.217
307	2305417.415
308	2305187.455
309	2304850.496
310	2304559.227
311	2304310.647
312	2304029.24
313	2303675.42
314	2303231.942
315	2302856.408
316	2302590.383
317	2302404.045
318	2302089.996
319	2301849.766
320	2301616.242
321	2301395.333
322	2300948.462
323	2300095.793
324	2299890.008
325	2299390.45
326	2299131.465
327	2298719.493
328	2298335.23
329	2297967.672
330	2297539.057
331	2297270.434
332	2297026.066
333	2296706.511
334	2296490.359
335	2296126.307
336	2295917.38
337	2295678.957
338	2295221.805
339	2294949.381
340	2294742.868
