iter	Passed	Remaining
0	46	46584
1	75	37899
2	94	31363
3	117	29254
4	145	28953
5	162	26847
6	176	25056
7	191	23715
8	213	23488
9	228	22668
10	245	22064
11	262	21575
12	279	21221
13	301	21226
14	324	21293
15	341	21000
16	360	20855
17	377	20583
18	395	20409
19	415	20348
20	437	20414
21	453	20158
22	469	19942
23	486	19764
24	502	19587
25	518	19422
26	533	19233
27	547	19010
28	565	18918
29	582	18845
30	596	18654
31	624	18905
32	653	19141
33	678	19278
34	703	19401
35	721	19329
36	735	19141
37	757	19185
38	786	19386
39	830	19921
40	851	19908
41	879	20070
42	911	20296
43	938	20398
44	986	20932
45	1029	21350
46	1049	21285
47	1068	21201
48	1094	21248
49	1113	21165
50	1129	21014
51	1165	21249
52	1201	21474
53	1235	21635
54	1263	21705
55	1300	21924
56	1346	22276
57	1388	22553
58	1429	22797
59	1507	23623
60	1559	24004
61	1633	24712
62	1695	25223
63	1713	25062
64	1737	24994
65	1760	24916
66	1794	24994
67	1811	24826
68	1833	24734
69	1845	24518
70	1860	24346
71	1875	24172
72	1887	23968
73	1902	23809
74	1915	23628
75	1927	23435
76	1940	23256
77	1954	23099
78	1963	22889
79	1973	22691
80	1985	22523
81	1994	22326
82	2006	22167
83	2019	22023
84	2029	21849
85	2044	21731
86	2055	21567
87	2072	21481
88	2089	21386
89	2105	21287
90	2123	21213
91	2138	21109
92	2151	20983
93	2168	20901
94	2187	20841
95	2222	20927
96	2245	20907
97	2262	20819
98	2275	20708
99	2289	20606
100	2301	20484
101	2316	20392
102	2327	20268
103	2336	20130
104	2348	20021
105	2358	19892
106	2367	19755
107	2389	19735
108	2404	19654
109	2416	19552
110	2432	19478
111	2446	19393
112	2455	19272
113	2467	19173
114	2477	19063
115	2486	18951
116	2499	18861
117	2509	18760
118	2520	18660
119	2537	18605
120	2551	18534
121	2562	18439
122	2573	18352
123	2583	18253
124	2594	18161
125	2603	18056
126	2614	17970
127	2623	17873
128	2633	17784
129	2646	17708
130	2655	17613
131	2664	17522
132	2677	17451
133	2687	17371
134	2709	17362
135	2722	17295
136	2737	17241
137	2758	17230
138	2770	17159
139	2782	17093
140	2795	17029
141	2804	16945
142	2814	16866
143	2825	16793
144	2835	16718
145	2846	16647
146	2857	16580
147	2868	16511
148	2878	16438
149	2888	16368
150	2897	16290
151	2907	16222
152	2918	16154
153	2929	16092
154	2943	16044
155	2956	15995
156	2966	15927
157	2975	15858
158	2986	15797
159	2995	15728
160	3008	15675
161	3022	15632
162	3033	15578
163	3050	15549
164	3076	15566
165	3089	15524
166	3120	15564
167	3158	15643
168	3202	15749
169	3275	15992
170	3333	16161
171	3363	16191
172	3421	16357
173	3462	16438
174	3482	16417
175	3510	16436
176	3537	16446
177	3577	16521
178	3628	16641
179	3672	16732
180	3713	16805
181	3732	16773
182	3755	16764
183	3768	16712
184	3780	16656
185	3794	16605
186	3807	16553
187	3824	16517
188	3841	16482
189	3857	16443
190	3870	16393
191	3884	16345
192	3899	16303
193	3912	16255
194	3924	16200
195	3935	16145
196	3952	16109
197	3968	16074
198	3988	16055
199	4014	16058
200	4031	16026
201	4048	15993
202	4085	16039
203	4114	16056
204	4133	16028
205	4149	15992
206	4169	15972
207	4180	15919
208	4195	15877
209	4203	15812
210	4217	15770
211	4229	15721
212	4241	15673
213	4252	15619
214	4262	15564
215	4273	15512
216	4283	15455
217	4294	15404
218	4305	15355
219	4314	15298
220	4326	15250
221	4337	15200
222	4349	15153
223	4360	15107
224	4370	15053
225	4381	15005
226	4393	14961
227	4407	14924
228	4417	14873
229	4427	14821
230	4436	14769
231	4447	14721
232	4457	14674
233	4466	14620
234	4477	14574
235	4492	14544
236	4508	14513
237	4523	14481
238	4534	14438
